00:00 02:30 1, 9, 13, 5, 2, 10, 14 1, 9, 13, 5, 14, 6, 10 1, 9, 13, 5, 10, 2, 6 1, 9, 13, 5, 6, 14, 2 2, 10, 14, 6, 3, 11, 15 2, 10, 14, 6, 15, 7, 11 2, 10, 14, 6, 11, 3, 7 2, 10, 14, 6, 7, 15, 3
02:00 04:30 2, 10, 14, 6, 3, 11, 15 2, 10, 14, 6, 15, 7, 11 2, 10, 14, 6, 11, 3, 7 2, 10, 14, 6, 7, 15, 3 3, 11, 15, 7, 4, 12, 16 3, 11, 15, 7, 16, 8, 12 3, 11, 15, 7, 12, 4, 8 3, 11, 15, 7, 8, 16, 4
04:00 06:30 3, 11, 15, 7, 4, 12, 16 3, 11, 15, 7, 16, 8, 12 3, 11, 15, 7, 12, 4, 8 3, 11, 15, 7, 8, 16, 4 4, 12, 16, 8, 5, 13, 1 4, 12, 16, 8, 1, 9, 13 4, 12, 16, 8, 13, 5, 9 4, 12, 16, 8, 9, 1, 5
06:00 08:30 4, 12, 16, 8, 5, 13, 1 4, 12, 16, 8, 1, 9, 13 4, 12, 16, 8, 13, 5, 9 4, 12, 16, 8, 9, 1, 5 5, 13, 1, 9, 6, 14, 2 5, 13, 1, 9, 2, 10, 14 5, 13, 1, 9, 14, 6, 10 5, 13, 1, 9, 10, 2, 6
08:00 10:30 5, 13, 1, 9, 6, 14, 2 5, 13, 1, 9, 2, 10, 14 5, 13, 1, 9, 14, 6, 10 5, 13, 1, 9, 10, 2, 6 6, 14, 2, 10, 7, 15, 3 6, 14, 2, 10, 3, 11, 15 6, 14, 2, 10, 15, 7, 11 6, 14, 2, 10, 11, 3, 7
10:00 12:30 6, 14, 2, 10, 7, 15, 3 6, 14, 2, 10, 3, 11, 15 6, 14, 2, 10, 15, 7, 11 6, 14, 2, 10, 11, 3, 7 7, 15, 3, 11, 8, 16, 4 7, 15, 3, 11, 4, 12, 16 7, 15, 3, 11, 16, 8, 12 7, 15, 3, 11, 12, 4, 8
12:00 14:30 7, 15, 3, 11, 8, 16, 4 7, 15, 3, 11, 4, 12, 16 7, 15, 3, 11, 16, 8, 12 7, 15, 3, 11, 12, 4, 8 8, 16, 4, 12, 9, 1, 5 8, 16, 4, 12, 5, 13, 1 8, 16, 4, 12, 1, 9, 13 8, 16, 4, 12, 13, 5, 9
14:00 16:30 8, 16, 4, 12, 9, 1, 5 8, 16, 4, 12, 5, 13, 1 8, 16, 4, 12, 1, 9, 13 8, 16, 4, 12, 13, 5, 9 9, 1, 5, 13, 10, 2, 6 9, 1, 5, 13, 6, 14, 2 9, 1, 5, 13, 2, 10, 14 9, 1, 5, 13, 14, 6, 10
16:00 18:30 9, 1, 5, 13, 10, 2, 6 9, 1, 5, 13, 6, 14, 2 9, 1, 5, 13, 2, 10, 14 9, 1, 5, 13, 14, 6, 10 10, 2, 6, 14, 11, 3, 7 10, 2, 6, 14, 7, 15, 3 10, 2, 6, 14, 3, 11, 15 10, 2, 6, 14, 15, 7, 11
18:00 20:30 10, 2, 6, 14, 11, 3, 7 10, 2, 6, 14, 7, 15, 3 10, 2, 6, 14, 3, 11, 15 10, 2, 6, 14, 15, 7, 11 11, 3, 7, 15, 12, 4, 8 11, 3, 7, 15, 8, 16, 4 11, 3, 7, 15, 4, 12, 16 11, 3, 7, 15, 16, 8, 12
20:00 22:30 11, 3, 7, 15, 12, 4, 8 11, 3, 7, 15, 8, 16, 4 11, 3, 7, 15, 4, 12, 16 11, 3, 7, 15, 16, 8, 12 12, 4, 8, 16, 13, 5, 9 12, 4, 8, 16, 9, 1, 5 12, 4, 8, 16, 5, 13, 1 12, 4, 8, 16, 1, 9, 13
22:00 00:30 12, 4, 8, 16, 13, 5, 9 12, 4, 8, 16, 9, 1, 5 12, 4, 8, 16, 5, 13, 1 12, 4, 8, 16, 1, 9, 13 13, 5, 9, 1, 14, 6, 10 13, 5, 9, 1, 10, 2, 6 13, 5, 9, 1, 6, 14, 2 13, 5, 9, 1, 2, 10, 14

00:00 02:30 3, 11, 15, 7, 4, 12, 16 3, 11, 15, 7, 16, 8, 12 3, 11, 15, 7, 12, 4, 8 3, 11, 15, 7, 8, 16, 4 4, 12, 16, 8, 1, 9, 13 4, 12, 16, 8, 13, 5, 9 4, 12, 16, 8, 9, 1, 5 4, 12, 16, 8, 5, 13, 1
02:00 04:30 4, 12, 16, 8, 5, 13, 1 4, 12, 16, 8, 1, 9, 13 4, 12, 16, 8, 13, 5, 9 4, 12, 16, 8, 9, 1, 5 5, 13, 1, 9, 2, 10, 14 5, 13, 1, 9, 14, 6, 10 5, 13, 1, 9, 10, 2, 6 5, 13, 1, 9, 6, 14, 2
04:00 06:30 5, 13, 1, 9, 6, 14, 2 5, 13, 1, 9, 2, 10, 14 5, 13, 1, 9, 14, 6, 10 5, 13, 1, 9, 10, 2, 6 6, 14, 2, 10, 3, 11, 15 6, 14, 2, 10, 15, 7, 11 6, 14, 2, 10, 11, 3, 7 6, 14, 2, 10, 7, 15, 3
06:00 08:30 6, 14, 2, 10, 7, 15, 3 6, 14, 2, 10, 3, 11, 15 6, 14, 2, 10, 15, 7, 11 6, 14, 2, 10, 11, 3, 7 7, 15, 3, 11, 4, 12, 16 7, 15, 3, 11, 16, 8, 12 7, 15, 3, 11, 12, 4, 8 7, 15, 3, 11, 8, 16, 4
08:00 10:30 7, 15, 3, 11, 8, 16, 4 7, 15, 3, 11, 4, 12, 16 7, 15, 3, 11, 16, 8, 12 7, 15, 3, 11, 12, 4, 8 8, 16, 4, 12, 5, 13, 1 8, 16, 4, 12, 1, 9, 13 8, 16, 4, 12, 13, 5, 9 8, 16, 4, 12, 9, 1, 5
10:00 12:30 8, 16, 4, 12, 9, 1, 5 8, 16, 4, 12, 5, 13, 1 8, 16, 4, 12, 1, 9, 13 8, 16, 4, 12, 13, 5, 9 9, 1, 5, 13, 6, 14, 2 9, 1, 5, 13, 2, 10, 14 9, 1, 5, 13, 14, 6, 10 9, 1, 5, 13, 10, 2, 6
12:00 14:30 9, 1, 5, 13, 10, 2, 6 9, 1, 5, 13, 6, 14, 2 9, 1, 5, 13, 2, 10, 14 9, 1, 5, 13, 14, 6, 10 10, 2, 6, 14, 7, 15, 3 10, 2, 6, 14, 3, 11, 15 10, 2, 6, 14, 15, 7, 11 10, 2, 6, 14, 11, 3, 7
14:00 16:30 10, 2, 6, 14, 11, 3, 7 10, 2, 6, 14, 7, 15, 3 10, 2, 6, 14, 3, 11, 15 10, 2, 6, 14, 15, 7, 11 11, 3, 7, 15, 8, 16, 4 11, 3, 7, 15, 4, 12, 16 11, 3, 7, 15, 16, 8, 12 11, 3, 7, 15, 12, 4, 8
16:00 18:30 11, 3, 7, 15, 12, 4, 8 11, 3, 7, 15, 8, 16, 4 11, 3, 7, 15, 4, 12, 16 11, 3, 7, 15, 16, 8, 12 12, 4, 8, 16, 9, 1, 5 12, 4, 8, 16, 5, 13, 1 12, 4, 8, 16, 1, 9, 13 12, 4, 8, 16, 13, 5, 9
18:00 20:30 12, 4, 8, 16, 13, 5, 9 12, 4, 8, 16, 9, 1, 5 12, 4, 8, 16, 5, 13, 1 12, 4, 8, 16, 1, 9, 13 13, 5, 9, 1, 10, 2, 6 13, 5, 9, 1, 6, 14, 2 13, 5, 9, 1, 2, 10, 14 13, 5, 9, 1, 14, 6, 10
20:00 22:30 13, 5, 9, 1, 14, 6, 10 13, 5, 9, 1, 10, 2, 6 13, 5, 9, 1, 6, 14, 2 13, 5, 9, 1, 2, 10, 14 14, 6, 10, 2, 11, 3, 7 14, 6, 10, 2, 7, 15, 3 14, 6, 10, 2, 3, 11, 15 14, 6, 10, 2, 15, 7, 11
22:00 00:30 14, 6, 10, 2, 15, 7, 11 14, 6, 10, 2, 11, 3, 7 14, 6, 10, 2, 7, 15, 3 14, 6, 10, 2, 3, 11, 15 15, 7, 11, 3, 12, 4, 8 15, 7, 11, 3, 8, 16, 4 15, 7, 11, 3, 4, 12, 16 15, 7, 11, 3, 16, 8, 12
