00:00 02:30 1, 9, 13, 5, 2, 10, 14, 6 1, 9, 13, 5, 2, 10, 14, 6 1, 9, 13, 5, 2, 10, 14, 6 1, 9, 13, 5, 2, 10, 14, 6 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7
02:00 04:30 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7 2, 10, 14, 6, 3, 11, 15, 7 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8
04:00 06:30 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9
06:00 08:30 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10
08:00 10:30 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11
10:00 12:30 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12
12:00 14:30 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13
14:00 16:30 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14
16:00 18:30 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15
18:00 20:30 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16
20:00 22:30 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1
22:00 00:30 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2

00:00 02:30 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 3, 11, 15, 7, 4, 12, 16, 8 4, 12, 16, 8, 1, 9, 13, 5 4, 12, 16, 8, 1, 9, 13, 5 4, 12, 16, 8, 1, 9, 13, 5 4, 12, 16, 8, 1, 9, 13, 5
02:00 04:30 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 4, 12, 16, 8, 5, 13, 1, 9 5, 13, 1, 9, 2, 10, 14, 6 5, 13, 1, 9, 2, 10, 14, 6 5, 13, 1, 9, 2, 10, 14, 6 5, 13, 1, 9, 2, 10, 14, 6
04:00 06:30 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 5, 13, 1, 9, 6, 14, 2, 10 6, 14, 2, 10, 3, 11, 15, 7 6, 14, 2, 10, 3, 11, 15, 7 6, 14, 2, 10, 3, 11, 15, 7 6, 14, 2, 10, 3, 11, 15, 7
06:00 08:30 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 6, 14, 2, 10, 7, 15, 3, 11 7, 15, 3, 11, 4, 12, 16, 8 7, 15, 3, 11, 4, 12, 16, 8 7, 15, 3, 11, 4, 12, 16, 8 7, 15, 3, 11, 4, 12, 16, 8
08:00 10:30 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 7, 15, 3, 11, 8, 16, 4, 12 8, 16, 4, 12, 5, 13, 1, 9 8, 16, 4, 12, 5, 13, 1, 9 8, 16, 4, 12, 5, 13, 1, 9 8, 16, 4, 12, 5, 13, 1, 9
10:00 12:30 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 8, 16, 4, 12, 9, 1, 5, 13 9, 1, 5, 13, 6, 14, 2, 10 9, 1, 5, 13, 6, 14, 2, 10 9, 1, 5, 13, 6, 14, 2, 10 9, 1, 5, 13, 6, 14, 2, 10
12:00 14:30 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 9, 1, 5, 13, 10, 2, 6, 14 10, 2, 6, 14, 7, 15, 3, 11 10, 2, 6, 14, 7, 15, 3, 11 10, 2, 6, 14, 7, 15, 3, 11 10, 2, 6, 14, 7, 15, 3, 11
14:00 16:30 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 10, 2, 6, 14, 11, 3, 7, 15 11, 3, 7, 15, 8, 16, 4, 12 11, 3, 7, 15, 8, 16, 4, 12 11, 3, 7, 15, 8, 16, 4, 12 11, 3, 7, 15, 8, 16, 4, 12
16:00 18:30 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 11, 3, 7, 15, 12, 4, 8, 16 12, 4, 8, 16, 9, 1, 5, 13 12, 4, 8, 16, 9, 1, 5, 13 12, 4, 8, 16, 9, 1, 5, 13 12, 4, 8, 16, 9, 1, 5, 13
18:00 20:30 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 12, 4, 8, 16, 13, 5, 9, 1 13, 5, 9, 1, 10, 2, 6, 14 13, 5, 9, 1, 10, 2, 6, 14 13, 5, 9, 1, 10, 2, 6, 14 13, 5, 9, 1, 10, 2, 6, 14
20:00 22:30 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2 13, 5, 9, 1, 14, 6, 10, 2 14, 6, 10, 2, 11, 3, 7, 15 14, 6, 10, 2, 11, 3, 7, 15 14, 6, 10, 2, 11, 3, 7, 15 14, 6, 10, 2, 11, 3, 7, 15
22:00 00:30 14, 6, 10, 2, 15, 7, 11, 3 14, 6, 10, 2, 15, 7, 11, 3 14, 6, 10, 2, 15, 7, 11, 3 14, 6, 10, 2, 15, 7, 11, 3 15, 7, 11, 3, 12, 4, 8, 16 15, 7, 11, 3, 12, 4, 8, 16 15, 7, 11, 3, 12, 4, 8, 16 15, 7, 11, 3, 12, 4, 8, 16
